cycle,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,49998.54,0,0,17980.6,0,9994.4,0,9989.56,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,17977.8,0,0,0,0,0,0
4,0,0,0,0,0,0,0,9989.56,0,0
5,0,0,0,0,0,0,0,0,50000.0,0
6,0,0,0,0,0,9994.4,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,49998.5,0,0,0,0,0,0,0,50000.0,0
9,0,0,0,0,492025.06,0,9988.73,0,0,0
10,0,0,0,0,492025.06,9994.4,9988.73,9989.56,0,0
11,0,0,50000.0,17975.0,0,0,0,9986.76,0,0
12,0,0,50000.0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,0,0,50000.0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,9985.92,0,0,0
16,0,0,0,0,0,9994.4,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,9994.4,0,9986.76,0,0
19,0,0,50000.0,0,0,9994.4,9983.12,0,50000.0,0
20,49998.3,0,0,0,0,9994.4,0,9986.76,0,0
21,49998.27,0,0,0,0,9993.0,0,9985.36,50000.0,0
22,0,0,50000.0,17972.2,492008.8,9991.6,0,9982.56,50000.0,0
23,0,0,50000.0,0,492008.8,9991.6,9983.12,9979.76,0,0
24,49997.91,47938.0,50000.0,17969.4,491981.83,0,9981.73,9979.76,50000.0,0
25,0,47938.0,0,0,0,9990.2,9980.33,9978.36,0,0
26,0,47936.6,50000.0,17966.6,0,9987.4,9977.52,9976.96,0,500000.0
27,49997.87,0,0,0,491979.14,9984.6,9977.52,9976.96,50000.0,500000.0
28,49997.84,0,0,0,491976.45,9981.8,9977.52,9976.96,50000.0,500000.0
29,49997.81,47936.6,0,0,491973.76,9979.0,9977.52,9974.16,50000.0,500000.0
30,0,0,50000.0,0,0,9979.0,9977.52,9971.36,50000.0,0
31,49997.81,0,50000.0,0,0,9976.2,9977.52,9968.56,0,0
32,0,47936.6,50000.0,17963.8,491973.76,9976.2,9977.52,9965.76,50000.0,500000.0
33,49997.78,0,0,0,491971.08,9973.4,9977.52,9962.96,0,0
34,0,47933.8,50000.0,0,491971.08,9973.4,9977.52,9960.16,50000.0,500000.0
35,49997.62,0,50000.0,0,0,9970.6,9977.52,9957.36,0,500000.0
36,49997.34,0,0,17961.0,491930.99,9967.8,9977.52,9954.56,0,500178.18
37,50021.83,0,50000.0,0,487674.06,9965.0,9977.52,9951.76,0,500175.59
38,50021.81,0,50000.0,0,487672.53,9965.0,0,9948.96,0,500175.34
39,50021.79,47931.0,50000.0,0,0,0,9977.52,9946.16,0,500175.08
40,0,47928.2,50000.0,17958.2,0,9962.2,9977.52,9943.36,50000.0,500175.08
41,0,47925.4,50000.0,0,487671.01,9959.4,9977.52,9940.56,0,500175.08
42,50021.59,0,50000.0,17955.4,0,9956.6,9977.52,9937.76,0,500172.5
43,50021.43,47922.6,50000.0,17952.6,487640.61,9953.8,9977.52,9934.96,0,500169.94
44,50042.32,0,50000.0,0,488177.02,9951.0,9977.52,9932.16,0,500260.62
45,50050.99,47919.8,50000.0,17949.8,488286.58,9948.2,9977.52,9929.36,0,500279.15
46,50049.44,47917.0,50000.0,0,0,9945.4,9977.52,9926.56,0,0
47,50049.28,47914.2,50000.0,17947.0,488267.57,9942.6,9977.52,9923.76,50000.0,0
48,50049.13,0,50000.0,17944.2,0,9939.8,0,9920.96,50000.0,500275.64
49,0,47911.4,50000.0,17941.4,488265.84,9937.0,9977.52,9918.16,0,500275.34
50,50058.86,47908.6,0,17941.4,488374.3,9934.2,9977.52,9915.36,50000.0,0
