open_time_ms,close
1694300400000,1635.54000000
1694304000000,1632.08000000
1694307600000,1631.10000000
1694311200000,1630.95000000
1694314800000,1631.25000000
1694318400000,1625.28000000
1694322000000,1625.83000000
1694325600000,1626.74000000
1694329200000,1624.87000000
1694332800000,1625.47000000
1694336400000,1623.50000000
1694340000000,1622.02000000
1694343600000,1624.43000000
1694347200000,1626.05000000
1694350800000,1626.87000000
1694354400000,1622.43000000
1694358000000,1619.80000000
1694361600000,1613.48000000
1694365200000,1608.49000000
1694368800000,1612.25000000
1694372400000,1616.84000000
1694376000000,1619.24000000
1694379600000,1623.72000000
1694383200000,1619.46000000
1694386800000,1617.42000000
1694390400000,1609.98000000
1694394000000,1608.65000000
1694397600000,1612.64000000
1694401200000,1612.41000000
1694404800000,1611.90000000
1694408400000,1617.37000000
1694412000000,1615.49000000
1694415600000,1612.23000000
1694419200000,1607.13000000
1694422800000,1593.93000000
1694426400000,1589.73000000
1694430000000,1586.53000000
1694433600000,1594.16000000
1694437200000,1588.30000000
1694440800000,1559.11000000
1694444400000,1562.65000000
1694448000000,1558.10000000
1694451600000,1564.14000000
1694455200000,1556.05000000
1694458800000,1539.37000000
1694462400000,1541.82000000
1694466000000,1544.03000000
1694469600000,1547.92000000
1694473200000,1551.85000000
1694476800000,1557.35000000
1694480400000,1552.43000000
1694484000000,1557.45000000
1694487600000,1584.81000000
1694491200000,1582.44000000
1694494800000,1580.83000000
1694498400000,1579.02000000
1694502000000,1580.05000000
1694505600000,1577.86000000
1694509200000,1589.19000000
1694512800000,1613.39000000
1694516400000,1609.48000000
1694520000000,1604.47000000
1694523600000,1608.42000000
1694527200000,1597.62000000
1694530800000,1603.85000000
1694534400000,1598.94000000
1694538000000,1586.13000000
1694541600000,1593.22000000
1694545200000,1598.51000000
1694548800000,1598.76000000
1694552400000,1601.29000000
1694556000000,1597.08000000
1694559600000,1592.97000000
