Prices: {"ETHUSDT": "2800.00", "SOLUSDT": "150.00", "BTCUSDT": "95000.00"}

Agent            Role                         USDT        ETH        SOL        BTC  Positions
------------------------------------------------------------------------------------------
GoldenWhale      whale                     9579.10     0.0000     0.0000   0.000000          1
CryptoGuru       shill                     9956.00     0.0000     0.0000   0.000000          1
ShadowTrader     insider                  10000.00     0.0000     0.0000   0.000000          0
LiquidKiller     liquidation_hunter       10000.00     0.0000     0.0000   0.000000          0
BearKing         short_seller             10000.00     0.0000     0.0000   0.000000          0
AlphaBot         arbitrageur              10000.00     0.0000     0.0000   0.000000          0
PoolMaster       market_maker             10000.00     0.0000     0.0000   0.000000          0
HappyTrader      retail_trader             9980.40     0.0000     0.0000   0.000000          0
DiamondHands     retail_trader             9988.80     0.0000     0.0000   0.000000          0
LeverageKing     retail_trader             9991.60     0.0000     0.0000   0.000000          0

