Prices: {"ETHUSDT": "2800.00", "SOLUSDT": "150.00", "BTCUSDT": "95000.00"}

Agent            Role                         USDT        ETH        SOL        BTC  Positions
------------------------------------------------------------------------------------------
GoldenWhale      whale                     8307.10     0.0000     0.0000   0.000000          2
CryptoGuru       shill                     7460.00     0.0000     0.0000   0.000000          3
ShadowTrader     insider                  10000.00     0.0000     0.0000   0.000000          0
LiquidKiller     liquidation_hunter       10000.00     0.0000     0.0000   0.000000          0
BearKing         short_seller             10000.00     0.0000     0.0000   0.000000          0
AlphaBot         arbitrageur              10000.00     0.0000     0.0000   0.000000          0
PoolMaster       market_maker             10000.00     0.0000     0.0000   0.000000          0
HappyTrader      retail_trader             4388.80     2.0000     0.0000   0.000000          0
DiamondHands     retail_trader             6911.60     1.0000     0.0000   0.000000          1
LeverageKing     retail_trader             8593.00     0.5000     0.0000   0.000000          0

