Prices: {"ETHUSDT": "2800.00", "SOLUSDT": "150.00", "BTCUSDT": "95000.00"}

Agent            Role                         USDT        ETH        SOL        BTC  Positions
------------------------------------------------------------------------------------------
GoldenWhale      whale                     7179.35     0.0000    15.0000   0.000000          1
CryptoGuru       shill                     9700.00     0.0000     0.0000   0.000000          1
ShadowTrader     insider                  10000.00     0.0000     0.0000   0.000000          0
LiquidKiller     liquidation_hunter       10000.00     0.0000     0.0000   0.000000          0
BearKing         short_seller             10000.00     0.0000     0.0000   0.000000          0
AlphaBot         arbitrageur              10000.00     0.0000     0.0000   0.000000          0
PoolMaster       market_maker             10000.00     0.0000     0.0000   0.000000          0
HappyTrader      retail_trader             1311.60     3.0000     0.0000   0.000000          1
DiamondHands     retail_trader             6911.60     1.0000     0.0000   0.000000          1
LeverageKing     retail_trader             5620.80     1.5000     0.0000   0.000000          1

