Prices: {"ETHUSDT": "2800.00", "SOLUSDT": "150.00", "BTCUSDT": "95000.00"}

Agent            Role                         USDT        ETH        SOL        BTC  Positions
------------------------------------------------------------------------------------------
GoldenWhale      whale                     3543.55     1.5000    15.0000   0.000000          0
CryptoGuru       shill                     9500.00     0.0000     0.0000   0.000000          2
ShadowTrader     insider                  10000.00     0.0000     0.0000   0.000000          0
LiquidKiller     liquidation_hunter       10000.00     0.0000     0.0000   0.000000          0
BearKing         short_seller             10000.00     0.0000     0.0000   0.000000          0
AlphaBot         arbitrageur              10000.00     0.0000     0.0000   0.000000          0
PoolMaster       market_maker             10000.00     0.0000     0.0000   0.000000          0
HappyTrader      retail_trader             4394.40     2.0000     0.0000   0.000000          0
DiamondHands     retail_trader             4114.40     2.0000     0.0000   0.000000          1
LeverageKing     retail_trader             5620.80     1.5000     0.0000   0.000000          1

