open_time_ms,close
1780527600000,71.61000000
1780531200000,70.75000000
1780534800000,68.63000000
1780538400000,70.07000000
1780542000000,71.48000000
1780545600000,70.90000000
1780549200000,70.35000000
1780552800000,70.35000000
1780556400000,69.15000000
1780560000000,69.25000000
1780563600000,68.86000000
1780567200000,67.89000000
1780570800000,68.70000000
1780574400000,70.12000000
1780578000000,70.38000000
1780581600000,69.77000000
1780585200000,69.64000000
1780588800000,69.41000000
1780592400000,69.25000000
1780596000000,69.50000000
1780599600000,69.10000000
1780603200000,68.82000000
1780606800000,67.80000000
1780610400000,68.49000000
1780614000000,68.88000000
1780617600000,68.31000000
1780621200000,68.52000000
1780624800000,67.33000000
1780628400000,67.09000000
1780632000000,67.94000000
1780635600000,66.24000000
1780639200000,65.05000000
1780642800000,66.18000000
1780646400000,65.31000000
1780650000000,66.55000000
1780653600000,66.42000000
1780657200000,66.08000000
1780660800000,65.83000000
1780664400000,64.32000000
1780668000000,65.27000000
1780671600000,64.24000000
1780675200000,65.86000000
1780678800000,65.09000000
1780682400000,62.91000000
1780686000000,63.44000000
1780689600000,64.64000000
1780693200000,64.89000000
1780696800000,64.41000000
1780700400000,63.64000000
1780704000000,64.68000000
1780707600000,63.85000000
1780711200000,63.53000000
1780714800000,62.84000000
1780718400000,60.88000000
1780722000000,62.62000000
1780725600000,62.22000000
1780729200000,62.78000000
1780732800000,63.18000000
1780736400000,62.71000000
1780740000000,61.84000000
1780743600000,62.46000000
1780747200000,62.92000000
1780750800000,62.45000000
1780754400000,62.33000000
1780758000000,62.03000000
1780761600000,62.13000000
1780765200000,61.63000000
1780768800000,61.73000000
1780772400000,61.64000000
1780776000000,61.84000000
1780779600000,61.91000000
1780783200000,61.73000000
1780786800000,62.20000000
