cycle,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,49991.1,0,50000.0,200000.0,0,9988.48,9977.6,9985.44,50000.0,0
2,49988.3,0,50000.0,0,4999999996.76,9988.48,9974.8,0,50000.0,0
3,49985.95,50000.0,50000.0,0,4999999996.76,9988.48,9972.0,9982.64,50000.0,499997.2
4,0,0,50000.0,0,4999999995.66,9988.48,9969.2,0,50000.0,499994.4
5,49983.6,50000.0,50000.0,200000.0,0,0,9966.4,9979.84,0,499991.6
6,0,50000.0,50000.0,200000.0,5000001265.42,0,0,0,0,499988.8
7,49979.4,50000.0,50000.0,0,4999990207.85,9988.48,9963.6,0,0,0
8,49976.6,50000.0,50000.0,0,4999990207.85,9988.48,9963.6,0,50000.0,499986.0
9,0,50000.0,50000.0,0,0,0,9960.8,9977.04,0,499984.6
10,49973.8,50000.0,50000.0,200000.0,4999990207.58,9988.48,9959.4,9974.24,50000.0,499981.8
