open_time_ms,close
1694300400000,25901.61000000
1694304000000,25871.65000000
1694307600000,25852.75000000
1694311200000,25853.35000000
1694314800000,25861.39000000
1694318400000,25832.82000000
1694322000000,25847.81000000
1694325600000,25852.01000000
1694329200000,25852.25000000
1694332800000,25863.10000000
1694336400000,25830.01000000
1694340000000,25805.01000000
1694343600000,25795.33000000
1694347200000,25802.47000000
1694350800000,25809.06000000
1694354400000,25773.24000000
1694358000000,25775.01000000
1694361600000,25791.17000000
1694365200000,25695.60000000
1694368800000,25728.23000000
1694372400000,25800.00000000
1694376000000,25820.35000000
1694379600000,25902.81000000
1694383200000,25852.34000000
1694386800000,25841.61000000
1694390400000,25726.35000000
1694394000000,25687.32000000
1694397600000,25735.72000000
1694401200000,25740.39000000
1694404800000,25778.07000000
1694408400000,25892.97000000
1694412000000,25839.55000000
1694415600000,25813.65000000
1694419200000,25805.26000000
1694422800000,25736.49000000
1694426400000,25711.52000000
1694430000000,25601.27000000
1694433600000,25718.00000000
1694437200000,25617.50000000
1694440800000,25147.75000000
1694444400000,25115.97000000
1694448000000,25185.01000000
1694451600000,25223.92000000
1694455200000,25163.60000000
1694458800000,25020.66000000
1694462400000,25099.99000000
1694466000000,25147.99000000
1694469600000,25148.62000000
1694473200000,25162.52000000
1694476800000,25202.39000000
1694480400000,25141.58000000
1694484000000,25209.39000000
1694487600000,25797.97000000
1694491200000,25760.81000000
1694494800000,25773.08000000
1694498400000,25763.73000000
1694502000000,25822.71000000
1694505600000,25766.93000000
1694509200000,25869.97000000
1694512800000,26159.98000000
1694516400000,26098.99000000
1694520000000,26121.84000000
1694523600000,26275.36000000
1694527200000,26114.39000000
1694530800000,26205.97000000
1694534400000,26109.32000000
1694538000000,25903.04000000
1694541600000,25980.28000000
1694545200000,26066.33000000
1694548800000,26073.90000000
1694552400000,26102.98000000
1694556000000,25970.01000000
1694559600000,25840.10000000
1694563200000,25919.51000000
1694566800000,25957.47000000
1694570400000,25910.50000000
1694574000000,25879.24000000
1694577600000,25926.36000000
1694581200000,25900.01000000
1694584800000,25956.65000000
1694588400000,25879.91000000
1694592000000,25952.88000000
1694595600000,26154.98000000
1694599200000,26151.90000000
1694602800000,26198.41000000
1694606400000,26212.51000000
1694610000000,26124.87000000
1694613600000,26214.37000000
1694617200000,26241.31000000
1694620800000,26280.05000000
1694624400000,26094.13000000
1694628000000,26111.48000000
1694631600000,26140.01000000
1694635200000,26218.04000000
1694638800000,26226.77000000
1694642400000,26242.18000000
1694646000000,26222.00000000
1694649600000,26522.00000000
1694653200000,26173.37000000
1694656800000,26284.99000000
1694660400000,26265.68000000
1694664000000,26214.13000000
1694667600000,26194.76000000
1694671200000,26291.88000000
1694674800000,26344.45000000
1694678400000,26306.51000000
1694682000000,26287.60000000
1694685600000,26334.44000000
1694689200000,26446.15000000
1694692800000,26458.68000000
1694696400000,26582.42000000
1694700000000,26731.40000000
1694703600000,26693.97000000
1694707200000,26621.67000000
1694710800000,26645.63000000
1694714400000,26581.00000000
1694718000000,26678.14000000
1694721600000,26568.72000000
1694725200000,26534.84000000
1694728800000,26601.15000000
1694732400000,26522.73000000
1694736000000,26481.44000000
1694739600000,26502.66000000
1694743200000,26608.59000000
1694746800000,26615.39000000
1694750400000,26642.16000000
1694754000000,26588.99000000
1694757600000,26576.02000000
1694761200000,26565.69000000
1694764800000,26633.41000000
1694768400000,26613.78000000
1694772000000,26639.64000000
1694775600000,26425.16000000
1694779200000,26364.66000000
1694782800000,26364.97000000
1694786400000,26238.14000000
1694790000000,26321.21000000
1694793600000,26379.97000000
1694797200000,26338.50000000
1694800800000,26347.38000000
1694804400000,26397.38000000
1694808000000,26415.78000000
1694811600000,26469.14000000
1694815200000,26776.31000000
1694818800000,26600.00000000
1694822400000,26630.17000000
1694826000000,26653.31000000
1694829600000,26675.01000000
1694833200000,26616.43000000
1694836800000,26555.28000000
1694840400000,26537.76000000
